SocketNo = 1, Connect 2 OK
2, 1000.00mV00.000A
2, 1000.00mV00.000A
2, 1000.00mV00.000A
2, 1000.56mV10.057A
2, 1000.62mV10.057A
2, 1000.84mV10.057A
2, 1000.68mV10.057A
2, 1000.68mV10.056A
2, 1000.69mV10.056A
SocketNo = 1, Connect 3 OK
3, 2010.78mV00.000A
3, 2009.31mV00.000A
3, 2000.02mV00.000A
3, 2001.98mV00.000A
3, 2003.45mV00.000A
3, 2008.54mV00.000A
3, 2036.09mV00.128A
3, 2000.00mV00.128A
3, 2012.11mV00.128A
3, 2017.58mV00.000A
SocketNo = 1, Connect 1 OK
1, 
 1)MAX LOAD POINT
1,            12.768   kgf
1,             5.8120  mm
1,  2)STROKE AT BREAK
1,            18.563   mm
1,  3)ENERGY
1,           113.06    kgf-mm
1,   ____________________
1, 
 SINGLE MODE
1,  LOAD CELL     500kgf
1,  FS LOAD       25.000kgf
1,  SPEED         100mm/min
1, 
 1)MAX LOAD POINT
1,            12.862   kgf
1,             3.7440  mm
1,  2)STROKE AT BREAK
1,            11.660   mm
1,  3)ENERGY
1,            71.955   kgf-mm
1,   ____________________
1, 
 SINGLE MODE
1,  LOAD CELL     500kgf
1,  FS LOAD       25.000kgf
1,  SPEED         100mm/min
1, 
 1)MAX LOAD POINT
1,            10.181   kgf
1,             2.4930  mm
1,  2)STROKE AT BREAK
1,            22.991   mm
1,  3)ENERGY
1,           112.95    kgf-mm
1,   ____________________
1, 
 SINGLE MODE
1,  LOAD CELL     500kgf
1,  FS LOAD       25.000kgf
1,  SPEED         100mm/min
1, 
 1)MAX LOAD POINT
1,            10.081   kgf
1,             3.4070  mm
1,  2)STROKE AT BREAK
1,            24.157   mm
1,  3)ENERGY
1,           126.89    kgf-mm
1,   ____________________
SocketNo = 1, Connect 2 OK
SocketNo = 1, Connect 1 OK
1, 
 SINGLE MODE
1,  LOAD CELL     500kgf
1,  FS LOAD       100.00kgf
1,  SPEED         200mm/min
1, 
 1)MAX LOAD POINT
1,            43.800   kgf
1,             4.8310  mm
1,  2)STROKE AT BREAK
1,             7.3290  mm
1,  3)ENERGY
1,           169.17    kgf-mm
1,   ____________________
1, 
 SINGLE MODE
1,  LOAD CELL     500kgf
1,  FS LOAD       100.00kgf
1,  SPEED         10mm/min
1, 
 1)MAX LOAD POINT
1,            35.950   kgf
1,             0.099000mm
1,  2)STROKE AT BREAK
1,             0.11600 mm
1,  3)ENERGY
1,             1.9136  kgf-mm
1,   ____________________
